participant,profession,age,leading_hand,sex,languages,education
4faf9c46-ec21-4a01-970a-522b03b2788c,Нет специальности,35,правая,женщина,Русский,средняя школа
d08d8652-81fe-431f-8964-5c94dd36d3b0,бухгалтер,65,правая,женщина,русский,бакалавриат
f6ec0b30-6e97-4e9c-9076-3c0421966e07,психолог,20,правая,женщина,русский,бакалавриат
4e69cb95-8b3f-463b-9534-d4692be119a0,логистик,18,левая,мужчина,русский,специалитет
b1d5ffa0-85f1-4b35-b441-a46efe9b4928,юрист,28,правая,женщина,русский,бакалавриат
58831f71-4669-45e6-b3dd-3a0e21d20c62,бухгалтер,38,левая,женщина,русс4кий,бакалавриат
251398d4-35d3-4f41-8fa6-d957a8762a3f,менеджер,40,правая,женщина,русский,бакалавриат
fa606cd2-3b0a-4c37-8376-c6071e30144a,инженер,39,правая,женщина,русский,специалитет
924b8171-4162-408e-8510-29b4554a24a6,слесарь,28,левая,мужчина,русский,специалитет
a9caa18c-da5b-4214-9092-db72d85b9086,судоводитель,51,правая,мужчина,русский,магистратура
05171d84-e0a5-4d95-959b-3667f34b8ca2,Экономист,26,правая,женщина,Русский,бакалавриат
04191086-ed28-4934-866c-4c8f5efc4053,Студент,19,правая,мужчина,Русский,школа
f88d1e3b-4137-4e5b-99e3-a3b91d0019ba,политолог,29,правая,женщина,русский,магистратура
8fbec266-246a-4895-8fdd-fec17390227a,Педагог,23,правая,женщина,Русский,специалитет
b9575d9c-7077-47bf-815a-517b65d451c0,бухгалтер,31,левая,женщина,русский,специалитет
10c7a70b-0f77-47b9-94a8-e72fa41b7665,организатор скд,19,правая,мужчина,русский,бакалавриат
28679e24-ee78-4d3b-bd3d-0ad81ae8ea18,врач,22,правая,женщина,русский,бакалавриат
5c22a5c4-d432-408a-b5da-3273dbc74706,админестратор,41,правая,женщина,русский,специалитет
b5f193aa-32ba-4cc0-9b5e-4b46a01f2dfa,Финансовый менеджер,28,правая,женщина,Русский,специалитет
1575cb4c-176b-4456-9ecc-78ec871676c0,школьник,18,правая,мужчина,русский,средняя школа
f289b929-57cc-42ed-a3c0-3f77ff491863,студент,21,правая,мужчина,Русский,школа
6765f01e-0a3d-49fc-ab2e-f75350d713f7,Инженер,32,правая,мужчина,Русский,бакалавриат
d49c27d5-69ac-4f14-b9db-e277ec43fc16,переводчик,20,правая,женщина,русский,бакалавриат
c410d270-4e36-4b0e-ab92-dd30bce41759,инженер,39,правая,мужчина,русский,специалитет
b3ea2f49-ccf4-4616-b56d-147496c33f42,специалист по социальной работе,22,правая,женщина,русский,бакалавриат
2376a206-8d9a-4afc-9306-e44d0b483665,Инженер,28,правая,мужчина,Русский,специалитет
22c006d6-978f-4339-84ac-2312b59c0c53,"домохозяйка, в прошлом экономист, по образованию инженер",53,переученный левша,женщина,русский,магистратура
7ee2f867-5f3e-4ef1-8d32-233e79c3ad96,нет,25,правая,мужчина,Русский,средняя школа
665a5f74-6d5f-43a2-8c38-3373d3a2f32c,ландшафтный дизайнер,28,правая,женщина,русский украинский,специалитет
